Social Metrics Scorecard IG,,2026,JAN,,,,,FEB,,,,MAR,,,,APR,,,,MAY,,,,JUN,,,,,JUL,,,,AUG,,,,,SEP,,,,OCT,,,,NOV,,,,,DEC,,,,,2026,,,,,,,,,,,,2026,,,,2026,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,2026,,
GUIDE TO THE SHEET,TikTok = Grin | Instagram = Mighty Scout,Start Date,"Mon, Dec 29","Mon, Jan 5","Mon, Jan 12","Mon, Jan 19","Mon, Jan 26","Mon, Feb 2","Mon, Feb 9","Mon, Feb 16","Mon, Feb 23","Mon, Mar 2","Mon, Mar 9","Mon, Mar 16","Mon, Mar 23","Mon, Mar 30","Mon, Apr 6","Mon, Apr 13","Mon, Apr 20","Mon, Apr 27","Mon, May 4","Mon, May 11","Mon, May 18","Mon, May 25","Mon, Jun 1","Mon, Jun 8","Mon, Jun 15","Mon, Jun 22","Mon, Jun 29","Mon, Jul 6","Mon, Jul 13","Mon, Jul 20","Mon, Jul 27","Mon, Aug 3","Mon, Aug 10","Mon, Aug 17","Mon, Aug 24","Mon, Aug 31","Mon, Sep 7","Mon, Sep 14","Mon, Sep 21","Mon, Sep 28","Mon, Oct 5","Mon, Oct 12","Mon, Oct 19","Mon, Oct 26","Mon, Nov 2","Mon, Nov 9","Mon, Nov 16","Mon, Nov 23","Mon, Nov 30","Mon, Dec 7","Mon, Dec 14","Mon, Dec 21","Mon, Dec 28",Q1,,,Q2,,,Q3,,,Q4,,,Q1,Q2,Q3,Q4,TOTAL,Q1,,,,,,,,,Q2,,,,,,,,,Q3,,,,,,,,,Q4,,,,,,,,,Q1,,,Q2,,,Q3,,,Q4,,,,,
,,End Date,"Sun, Jan 4","Sun, Jan 11","Sun, Jan 18","Sun, Jan 25","Sun, Feb 1","Sun, Feb 8","Sun, Feb 15","Sun, Feb 22","Sun, Mar 1","Sun, Mar 8","Sun, Mar 15","Sun, Mar 22","Sun, Mar 29","Sun, Apr 5","Sun, Apr 12","Sun, Apr 19","Sun, Apr 26","Sun, May 3","Sun, May 10","Sun, May 17","Sun, May 24","Sun, May 31","Sun, Jun 7","Sun, Jun 14","Sun, Jun 21","Sun, Jun 28","Sun, Jul 5","Sun, Jul 12","Sun, Jul 19","Sun, Jul 26","Sun, Aug 2","Sun, Aug 9","Sun, Aug 16","Sun, Aug 23","Sun, Aug 30","Sun, Sep 6","Sun, Sep 13","Sun, Sep 20","Sun, Sep 27","Sun, Oct 4","Sun, Oct 11","Sun, Oct 18","Sun, Oct 25","Sun, Nov 1","Sun, Nov 8","Sun, Nov 15","Sun, Nov 22","Sun, Nov 29","Sun, Dec 6","Sun, Dec 13","Sun, Dec 20","Sun, Dec 27","Thu, Dec 31",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,JAN,,,Feb,,,Mar,,,Apr,,,May,,,Jun,,,Jul,,,Aug,,,Sep,,,Oct,,,Nov,,,Dec,,,,,,,,,,,,,,,,,
PLATFORMS,,Week #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,,,,,,,,,,,,,,,,,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Impressions Rate | Period - over - Period",Impressions Rate | Period - over - Period,,,78%,-5%,-404%,83%,-242%,47%,-37%,42%,-53%,16%,4%,66%,-401%,-222%,84%,-31%,28%,-37%,11%,40%,37%,-308%,36%,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.32%,39.71%,-110.16%,40.70%,46.68%,,,,,,,,7.03%,,,,,100.00%,92.36%,,100.00%,85.99%,,100.00%,82.60%,100.00%,99.96%,93.21%,100.00%,99.96%,81.51%,,100.00%,97.32%,100.00%,98.64%,,100.00%,83.16%,,100.00%,89.31%,,100.00%,69.41%,,100.00%,85.14%,,100.00%,93.21%,,,100.00%,87.10%,100.00%,99.98%,84.43%,100.00%,94.12%,,100.00%,90.19%,,100.00%,93.05%,37.08%
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Reach",Reach,,"2,409,377","7,541,747","7,152,409","1,999,405","8,129,805","7,119,063","5,016,388","4,920,424","6,139,991","4,811,484","6,714,824","6,888,180","13,080,825","5,831,713","2,610,104","5,659,595","7,366,171","7,291,855","5,155,597","9,365,093","14,323,346","10,287,659","1,604,992","8,825,968","31,755,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,232,743","23,195,866","31,495,313","21,467,583","36,135,891","52,473,813",,,,,,,"81,923,922","110,077,280",,,"192,001,209 ",0,"24,035,909 ","27,232,743",0,"17,751,706 ","23,195,866",0,"15,409,842 ","31,495,313",864,"14,811,368 ","21,467,583",827,"23,337,558 ","36,135,891",71,"21,656,869 ","52,473,813","53,237","38,867,580 ",0,"407,091","18,264,583 ",0,"1,043,606","23,237,915 ",0,"4,749,406","24,419,806 ",0,"16,892,623","36,145,563 ",0,"16,518,851","18,837,236 ",0,0,"57,197,457 ","81,923,922","1,691","53,558,768 ","89,098,787","1,503,934","80,370,078 ",0,"38,160,880","79,402,605 ",0,"39,666,505","270,528,908 ","171,022,709"
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Reach Rate | Period - over - Period",Reach Rate | Period - over - Period,,,68%,-5%,-258%,75%,-14%,-42%,-2%,20%,-28%,28%,3%,47%,-124%,-123%,54%,23%,-1%,-41%,45%,35%,-39%,-541%,82%,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.40%,26.35%,-46.71%,40.59%,31.14%,,,,,,,,25.58%,,,,,100.00%,11.74%,,100.00%,23.47%,,100.00%,51.07%,100.00%,99.99%,31.01%,100.00%,100.00%,35.42%,100.00%,100.00%,58.73%,100.00%,99.86%,,100.00%,97.77%,,100.00%,95.51%,,100.00%,80.55%,,100.00%,53.27%,,100.00%,12.31%,,,100.00%,30.18%,100.00%,100.00%,39.89%,100.00%,98.13%,,100.00%,51.94%,,100.00%,85.34%,-58.18%
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement (Likes, Comments, Shares)","Engagement (Likes, Comments, Shares)",,"14,832","34,255","23,746","14,237","13,498","9,980","2,552","10,744","24,386","34,701","11,672","12,030","27,443","15,447","2,798","4,408","26,229","14,293","12,445","6,010","18,825","37,699","5,174","31,707","30,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,568","47,662","85,846","48,882","51,573","104,911",,,,,,,"234,076","205,360",,,"439,442 ",0,"68,631 ","100,568",0,"35,699 ","47,662",0,"70,500 ","85,846",7,"32,721 ","48,882",35,"54,681 ","51,573",33,"31,390 ","104,911","1,133","101,100 ",0,"7,043","37,445 ",0,"14,438","21,777 ",0,"91,564","36,686 ",0,"64,118","107,462 ",0,"79,126","78,421 ",0,0,"174,830 ","234,076",42,"157,902 ","186,301","22,614","160,322 ",0,"234,808","222,569 ",0,"257,464","715,623 ","420,377"
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement Rate | Period - over - Period",Engagement Rate | Period - over - Period,,,57%,-44%,-67%,-5%,-35%,-291%,76%,56%,30%,-197%,3%,56%,-78%,-452%,37%,83%,-84%,-15%,-107%,68%,50%,-629%,84%,-5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111.00%,44.48%,-75.62%,5.22%,50.84%,,,,,,,,-13.98%,,,,,100.00%,31.76%,,100.00%,25.10%,,100.00%,17.88%,100.00%,99.98%,33.06%,100.00%,99.94%,-6.03%,100.00%,99.89%,70.08%,100.00%,98.88%,,100.00%,81.19%,,100.00%,33.70%,,100.00%,-149.59%,,100.00%,40.33%,,100.00%,-0.90%,,,100.00%,25.31%,100.00%,99.97%,15.24%,100.00%,85.89%,,100.00%,-5.50%,,100.00%,64.02%,-70.23%
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement Rate | Period - over - Period",Engagement Rate,,0.62%,0.45%,0.33%,0.71%,0.17%,0.14%,0.05%,0.22%,0.40%,0.72%,0.17%,0.17%,0.21%,0.26%,0.11%,0.08%,0.36%,0.20%,0.24%,0.06%,0.13%,0.37%,0.32%,0.36%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37%,0.21%,0.27%,0.23%,0.14%,0.20%,,,,,,,0.29%,0.19%,,,0.23%,0.00%,22400.00%,,0.00%,20500.00%,,0.00%,23900.00%,,,18100.00%,,100.00%,20500.00%,,200.00%,19000.00%,,200.00%,44400.00%,,900.00%,12600.00%,,700.00%,8700.00%,,9200.00%,15000.00%,,29500.00%,32500.00%,,30900.00%,38200.00%,,0.00%,66800.00%,,100.00%,62500.00%,,1800.00%,65700.00%,,69600.00%,85700.00%,,71500.00%,280700.00%,
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement Rate | Period - over - Period",Engagement Rate | Period - over - Period,,,-36%,-37%,53%,-329%,-18%,-176%,77%,45%,45%,-315%,0%,17%,21%,-147%,-38%,78%,-82%,19%,-276%,51%,64%,-14%,10%,-276%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.72%,24.61%,-19.70%,-59.54%,28.62%,,,,,,,,-53.15%,,,,,100.00%,,,100.00%,,,100.00%,,,100.00%,,100.00%,99.51%,,100.00%,98.95%,,100.00%,99.55%,,100.00%,92.86%,,100.00%,91.95%,,100.00%,38.67%,,100.00%,9.23%,,100.00%,19.11%,,,100.00%,,100.00%,99.84%,,100.00%,97.26%,,100.00%,18.79%,,100.00%,74.53%,
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement Rate | Period - over - Period",Media Posted,,83,119,104,80,127,109,78,100,161,102,141,146,159,94,58,56,53,73,45,88,147,136,66,61,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,448,548,261,353,339,,,,,,,"1,509",937,,,2462,,,513,,,448,,,548,,1.09%,261,,0.94%,353,,0.69%,339,,0.73%,0,,1.06%,0,,0.37%,0,,0.81%,0,,1.45%,0,,4.88%,0,0,0.00%,"1,509",0,2.03%,"1,162",0,2.16%,0,0,7.14%,0,0,11.33%,"2,671"
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement Rate | Period - over - Period",Media Posted Rate | Period - over - Period,,,30%,-14%,-30%,37%,-17%,-40%,22%,38%,-58%,28%,3%,8%,-69%,-62%,-4%,-6%,27%,-62%,49%,40%,-8%,-106%,-8%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.51%,18.25%,-109.96%,26.06%,-4.13%,,,,,,,,-61.10%,,,,,,100.00%,,,100.00%,,,100.00%,,100.00%,100.00%,,100.00%,100.00%,,100.00%,100.00%,,100.00%,,,100.00%,,,100.00%,,,100.00%,,,100.00%,,,100.00%,,,,100.00%,,100.00%,100.00%,,100.00%,,,100.00%,,,100.00%,100.00%
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement Rate | Period - over - Period",Earned Media Value,,"$23,037","$65,997","$50,536","$16,680","$57,580","$20,562","$27,559","$28,217","$50,547","$39,506","$36,271","$46,368","$97,423","$27,462","$5,159","$34,294","$47,444","$35,657","$32,032","$29,811","$58,249","$94,291","$18,109","$46,981","$188,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$213,830","$126,885","$219,568","$114,359","$155,749","$347,940",,,,,,,"$560,283","$618,046",,,"$1,178,329",$0,"$374,884","$213,830",$0,"$309,533","$126,885",$0,"$254,907","$219,568",$8,"$187,825","$114,359",$8,"$400,580","$155,749",$1,"$323,522","$347,940","$1,064","$979,939",$0,"$4,088","$335,250",$0,"$12,431","$364,706",$0,"$111,642","$47,027",,"$483,812","$79,730",,"$461,936","$49,069",,$0,"$313,108","$186,761",$5,"$281,104","$163,225","$5,861","$559,965",0,"$352,463","$58,609",,"$358,330","$1,212,786","$349,986"
