Social Metrics Scorecard IG,,2026,JAN,,,,,FEB,,,,MAR,,,,APR,,,,MAY,,,,JUN,,,,,JUL,,,,AUG,,,,,SEP,,,,OCT,,,,NOV,,,,,DEC,,,,,2026,,,,,,,,,,,,2026,,,,2026,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,2026,,
GUIDE TO THE SHEET,TikTok = Grin | Instagram = Mighty Scout,Start Date,"Mon, Dec 29","Mon, Jan 5","Mon, Jan 12","Mon, Jan 19","Mon, Jan 26","Mon, Feb 2","Mon, Feb 9","Mon, Feb 16","Mon, Feb 23","Mon, Mar 2","Mon, Mar 9","Mon, Mar 16","Mon, Mar 23","Mon, Mar 30","Mon, Apr 6","Mon, Apr 13","Mon, Apr 20","Mon, Apr 27","Mon, May 4","Mon, May 11","Mon, May 18","Mon, May 25","Mon, Jun 1","Mon, Jun 8","Mon, Jun 15","Mon, Jun 22","Mon, Jun 29","Mon, Jul 6","Mon, Jul 13","Mon, Jul 20","Mon, Jul 27","Mon, Aug 3","Mon, Aug 10","Mon, Aug 17","Mon, Aug 24","Mon, Aug 31","Mon, Sep 7","Mon, Sep 14","Mon, Sep 21","Mon, Sep 28","Mon, Oct 5","Mon, Oct 12","Mon, Oct 19","Mon, Oct 26","Mon, Nov 2","Mon, Nov 9","Mon, Nov 16","Mon, Nov 23","Mon, Nov 30","Mon, Dec 7","Mon, Dec 14","Mon, Dec 21","Mon, Dec 28",Q1,,,Q2,,,Q3,,,Q4,,,Q1,Q2,Q3,Q4,TOTAL,Q1,,,,,,,,,Q2,,,,,,,,,Q3,,,,,,,,,Q4,,,,,,,,,Q1,,,Q2,,,Q3,,,Q4,,,,,
,,End Date,"Sun, Jan 4","Sun, Jan 11","Sun, Jan 18","Sun, Jan 25","Sun, Feb 1","Sun, Feb 8","Sun, Feb 15","Sun, Feb 22","Sun, Mar 1","Sun, Mar 8","Sun, Mar 15","Sun, Mar 22","Sun, Mar 29","Sun, Apr 5","Sun, Apr 12","Sun, Apr 19","Sun, Apr 26","Sun, May 3","Sun, May 10","Sun, May 17","Sun, May 24","Sun, May 31","Sun, Jun 7","Sun, Jun 14","Sun, Jun 21","Sun, Jun 28","Sun, Jul 5","Sun, Jul 12","Sun, Jul 19","Sun, Jul 26","Sun, Aug 2","Sun, Aug 9","Sun, Aug 16","Sun, Aug 23","Sun, Aug 30","Sun, Sep 6","Sun, Sep 13","Sun, Sep 20","Sun, Sep 27","Sun, Oct 4","Sun, Oct 11","Sun, Oct 18","Sun, Oct 25","Sun, Nov 1","Sun, Nov 8","Sun, Nov 15","Sun, Nov 22","Sun, Nov 29","Sun, Dec 6","Sun, Dec 13","Sun, Dec 20","Sun, Dec 27","Thu, Dec 31",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,JAN,,,Feb,,,Mar,,,Apr,,,May,,,Jun,,,Jul,,,Aug,,,Sep,,,Oct,,,Nov,,,Dec,,,,,,,,,,,,,,,,,
PLATFORMS,,Week #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,,,,,,,,,,,,,,,,,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026,2024,2025,2026
"MIGHTY SCOUT TOTAL (IG, TIKTOK) - Engagement Rate | Period - over - Period",Media Value Rate | Period - over - Period,,,65%,-31%,-203%,71%,-180%,25%,2%,44%,-28%,-9%,22%,52%,-255%,-432%,85%,28%,-33%,-11%,-7%,49%,38%,-421%,61%,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.52%,42.21%,-92.00%,26.57%,55.24%,,,,,,,,9.35%,,,,,100.00%,-75.32%,,100.00%,-143.95%,,100.00%,-16.09%,100.00%,100.00%,-64.24%,100.00%,100.00%,-157.20%,100.00%,100.00%,7.02%,100.00%,99.89%,,100.00%,98.78%,,100.00%,96.59%,,100.00%,-137.40%,,100.00%,-506.81%,,100.00%,-841.40%,,,100.00%,-67.65%,100.00%,100.00%,-72.22%,100.00%,98.95%,,100.00%,-501.38%,,100.00%,70.45%,-246.52%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG,KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - @Btioptimizers IG | Follower Count #,@Btioptimizers IG | Follower Count #,,"102,867","102,916","103,079","103,138","103,229","103,275","103,280","103,432","103,484","103,679","103,756","103,936","104,115","104,334","104,520","104,682","104,829","104,994","104,754","104,883","105,023","105,335","105,666","105,898","106,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,046","103,368","103,872","104,591","104,914","105,778",,,,,,,"103,399","105,094",,,"104,213","73,397","89,686","103,046","74,930","90,456","103,368","76,390","91,122","103,872","77,873","92,418","104,591","79,042","94,056","104,914","81,479","95,464","105,778","82,645","97,058",,"83,517","98,772",,"84,617","100,211",,"85,538","101,166",,"86,825","101,915",,"89,166","102,817",,"74,906","90,421","103,428","77,768","92,532","104,459","83,593","98,680",,"87,176","101,966",,"87,176","95,900","103,944"
Mighty Scout Data @Bioptimizers IG - Follower Count # Rate | Period - over - Period,Follower Count # Rate | Period - over - Period,,,0.05%,0.16%,0.06%,0.09%,0.04%,0.00%,0.15%,0.05%,0.19%,0.07%,0.17%,0.17%,0.21%,0.18%,0.15%,0.14%,0.16%,-0.23%,0.12%,0.13%,0.30%,0.31%,0.22%,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31%,0.48%,0.69%,0.31%,0.82%,,,,,,,,1.61%,,,,20.81%,18.16%,12.96%,20.34%,17.16%,12.49%,20.30%,16.17%,12.27%,21.21%,15.74%,11.64%,21.53%,15.96%,10.35%,22.56%,14.65%,9.75%,23.14%,14.85%,,22.09%,15.45%,,22.06%,15.56%,,17.06%,15.45%,,17.60%,14.81%,,18.77%,13.28%,,20.48%,17.16%,12.58%,21.02%,15.95%,11.42%,22.42%,15.29%,,17.82%,14.50%,,17.82%,9.10%,7.74%
Mighty Scout Data @Bioptimizers IG - @BIOptimizers IG | New Followers,@BIOptimizers IG | New Followers,,,49,163,59,91,46,5,152,52,195,77,180,179,219,186,162,147,165,-240,129,140,312,331,232,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,255,631,714,194,"1,191",,,,,,,"1,248","2,099",,,"3,347",988,"1,119",362,"1,533",582,255,"1,460",803,631,"1,483","1,419",714,"1,169","1,682",194,"2,437","1,418","1,191","1,166","1,603",0,872,"2,036",0,"1,100",958,0,921,788,0,"1,287","1,086",0,"2,341",471,0,"3,981","2,504","1,248","4,112","3,904","1,539","3,138","4,597",0,"4,549","2,345",0,"15,537","8,724","8,044"
Mighty Scout Data @Bioptimizers IG - New Followers Growth Rate | Period - over - Period,New Followers Growth Rate | Period - over - Period,,,100%,70%,-176%,35%,-98%,-820%,97%,-192%,73%,-153%,57%,-1%,18%,-18%,-15%,-10%,11%,169%,286%,8%,55%,6%,-43%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.96%,59.59%,11.62%,-268.04%,83.71%,,,,,,,,40.54%,,,,30.47%,11.71%,-209.12%,-2.15%,-163.40%,-128.24%,18.01%,-81.82%,-27.26%,68.04%,-4.51%,-98.74%,43.28%,30.50%,-767.01%,55.97%,-71.86%,-19.06%,63.12%,27.26%,,-77.06%,57.17%,,19.82%,-14.82%,,-441.91%,-16.88%,,53.15%,-18.51%,,62.20%,-397.03%,,13.34%,-58.99%,-100.64%,43.24%,-5.33%,-153.67%,8.99%,31.74%,,-42.43%,-93.99%,,2.69%,-78.10%,-8.46%
Mighty Scout Data @Bioptimizers IG - Profle Posted,Profle Posted,,10,24,27,17,22,16,18,9,18,14,14,12,19,10,10,14,5,14,9,25,32,39,19,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,61,59,39,80,102,,,,,,,220,226,,,441,0,151,100,0,134,61,0,150,59,1,141,39,1,132,80,1,135,102,1,143,0,7,81,0,6,56,0,48,65,0,131,138,0,142,112,0,0,435,220,2,423,178,14,280,0,321,315,0,337,"1,453",398
Mighty Scout Data @Bioptimizers IG - Total EMV Rate | Period - over - Period,Total EMV Rate | Period - over - Period,,,58%,11%,-59%,23%,-38%,11%,-100%,50%,-29%,0%,-17%,37%,-90%,0%,29%,-180%,64%,-56%,64%,22%,18%,-105%,-12%,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.93%,-3.39%,-51.28%,51.25%,21.57%,,,,,,,,2.63%,,,,,100.00%,-51.00%,,100.00%,-119.67%,,100.00%,-154.24%,100.00%,99.29%,-261.54%,100.00%,99.24%,-65.00%,100.00%,99.26%,-32.35%,100.00%,99.30%,,100.00%,91.36%,,100.00%,89.29%,,100.00%,26.15%,,100.00%,5.07%,,100.00%,-26.79%,,,100.00%,-97.73%,100.00%,99.53%,-137.64%,100.00%,95.00%,,100.00%,-1.90%,,100.00%,76.81%,-265.08%
Mighty Scout Data @Bioptimizers IG - Impressions	,Impressions	,,"668,136","3,007,231","2,898,619","565,597","3,453,269","885,351","1,896,592","1,278,033","2,267,603","1,367,367","1,842,792","1,533,985","5,644,084","1,098,950","335,758","2,179,277","1,575,165","2,294,109","1,676,981","1,791,627","3,028,985","4,940,552","1,142,817","1,897,081","7,474,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,592,852","6,327,579","10,388,228","5,189,150","8,791,702","15,455,364",,,,,,,"27,308,659","29,436,214",,,"56,744,875 ",0,"852,297 ","10,592,852",0,"956,840 ","6,327,579",0,"1,972,094 ","10,388,228",130,"366,123 ","5,189,150",590,"1,680,905 ","8,791,702",0,"457,273 ","15,455,364","49,943","3,683,633 ",0,"178,500","1,059,733 ",0,"112,690","1,054,219 ",0,"421,293","1,377,449 ",0,"571,083","3,843,899 ",0,"1,077,247","15,875,132 ",0,0,"3,781,231 ","27,308,659",720,"4,019,122 ","24,369,080","341,133","5,797,585 ",0,"2,069,623","21,096,480 ",0,"2,411,476","34,694,418 ","51,677,739"
Mighty Scout Data @Bioptimizers IG - Impressions Rate | Period - over - Period,Impressions Rate | Period - over - Period,,,78%,-4%,-412%,84%,-290%,53%,-48%,44%,-66%,26%,-20%,73%,-414%,-227%,85%,-38%,31%,-37%,6%,41%,39%,-332%,40%,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.41%,39.09%,-100.19%,40.98%,43.12%,,,,,,,,7.23%,,,,,100.00%,91.95%,,100.00%,84.88%,,100.00%,81.02%,100.00%,99.96%,92.94%,100.00%,99.96%,80.88%,,100.00%,97.04%,100.00%,98.64%,,100.00%,83.16%,,100.00%,89.31%,,100.00%,69.41%,,100.00%,85.14%,,100.00%,93.21%,,,100.00%,86.15%,100.00%,99.98%,83.51%,100.00%,94.12%,,100.00%,90.19%,,100.00%,93.05%,32.86%
Mighty Scout Data @Bioptimizers IG - Reach,Reach,,"806,825","5,440,719","5,042,925","1,032,817","5,444,706","3,492,544","3,342,349","2,765,328","2,724,225","2,460,379","3,948,069","3,200,287","7,584,084","1,964,990","1,265,640","4,198,129","2,788,265","4,786,362","3,388,026","5,379,981","10,077,099","8,289,029","1,137,023","6,255,552","25,699,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,767,992","12,324,446","17,192,819","10,217,024","23,631,468","41,380,983",,,,,,,"47,285,257","75,229,468",,,"122,514,732 ",0,"24,035,909 ","17,767,992",0,"17,751,706 ","12,324,446",0,"15,409,842 ","17,192,819",864,"14,811,368 ","10,217,024",827,"23,337,558 ","23,631,468",71,"21,656,869 ","41,380,983","53,237","38,867,580 ",0,"407,091","18,264,583 ",0,"1,043,606","23,237,915 ",0,"4,749,406","24,419,806 ",0,"16,892,623","36,145,563 ",0,"16,518,851","18,837,236 ",0,0,"57,197,457 ","47,285,257","1,691","53,558,768 ","51,041,311","1,503,934","80,370,078 ",0,"38,160,880","79,402,605 ",0,"39,666,505","270,528,908 ","98,326,568"
Mighty Scout Data @Bioptimizers IG - Reach Rate | Period - over - Period,Reach Rate | Period - over - Period,,,85%,-8%,-388%,81%,-56%,-4%,-21%,-2%,-11%,38%,-23%,58%,-286%,-55%,70%,-51%,42%,-41%,37%,47%,-22%,-629%,82%,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.17%,28.32%,-68.28%,56.77%,42.89%,,,,,,,,37.15%,,,,,100.00%,-35.28%,,100.00%,-44.04%,,100.00%,10.37%,100.00%,99.99%,-44.97%,100.00%,100.00%,1.24%,100.00%,100.00%,47.66%,100.00%,99.86%,,100.00%,97.77%,,100.00%,95.51%,,100.00%,80.55%,,100.00%,53.27%,,100.00%,12.31%,,,100.00%,-20.96%,100.00%,100.00%,-4.93%,100.00%,98.13%,,100.00%,51.94%,,100.00%,85.34%,-175.13%
"Mighty Scout Data @Bioptimizers IG - Engagement (Likes, Comments, Shares)","Engagement (Likes, Comments, Shares)",,"12,788","20,887","5,532","11,955","11,381","3,092",632,"7,058","19,783","9,814","9,655","6,296","22,966","13,342","1,659","3,613","21,235","12,520","11,373","2,284","12,744","34,223","2,165","30,431","22,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,543","30,565","48,731","39,849","38,921","89,511",,,,,,,"141,839","168,274",,,"310,120 ",0,"68,631 ","62,543",0,"35,699 ","30,565",0,"70,500 ","48,731",7,"32,721 ","39,849",35,"54,681 ","38,921",33,"31,390 ","89,511","1,133","101,100 ",0,"7,043","37,445 ",0,"14,438","21,777 ",0,"91,564","36,686 ",0,"64,118","107,462 ",0,"79,126","78,421 ",0,0,"174,830 ","141,839",42,"157,902 ","127,501","22,614","160,322 ",0,"234,808","222,569 ",0,"257,464","715,623 ","269,340"
Mighty Scout Data @Bioptimizers IG - Engagement Rate | Period - over - Period,Engagement Rate | Period - over - Period,,,39%,-278%,54%,-5%,-268%,-389%,91%,64%,-102%,-2%,-53%,73%,-72%,-704%,54%,83%,-70%,-10%,-398%,82%,63%,-1481%,93%,-34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-104.62%,37.28%,-22.29%,-2.38%,56.52%,,,,,,,,15.71%,,,,,100.00%,-9.73%,,100.00%,-16.80%,,100.00%,-44.67%,100.00%,99.98%,17.89%,100.00%,99.94%,-40.49%,100.00%,99.89%,64.93%,100.00%,98.88%,,100.00%,81.19%,,100.00%,33.70%,,100.00%,-149.59%,,100.00%,40.33%,,100.00%,-0.90%,,,100.00%,-23.26%,100.00%,99.97%,-23.84%,100.00%,85.89%,,100.00%,-5.50%,,100.00%,64.02%,-165.70%
Mighty Scout Data @Bioptimizers IG - Engagement Rate | Period - over - Period,Engagement Rate,,1.58%,0.38%,0.11%,1.16%,0.21%,0.09%,0.02%,0.26%,0.73%,0.40%,0.24%,0.20%,0.30%,0.68%,0.13%,0.09%,0.76%,0.26%,0.34%,0.04%,0.13%,0.41%,0.19%,0.49%,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35%,0.25%,0.28%,0.39%,0.16%,0.22%,,,,,,,0.30%,0.22%,,,0.25%,0.00%,22400.00%,,0.00%,20500.00%,,0.00%,23900.00%,,,18100.00%,,100.00%,20500.00%,,200.00%,19000.00%,,200.00%,44400.00%,,900.00%,12600.00%,,700.00%,8700.00%,,9200.00%,15000.00%,,29500.00%,32500.00%,,30900.00%,38200.00%,,0.00%,66800.00%,,100.00%,62500.00%,,1800.00%,65700.00%,,69600.00%,85700.00%,,71500.00%,280700.00%,
 - Engagement Rate | Period - over - Period,Engagement Rate | Period - over - Period,,,-313%,-250%,91%,-454%,-136%,-368%,93%,65%,-82%,-63%,-24%,35%,55%,-418%,-52%,89%,-191%,22%,-691%,66%,69%,-117%,61%,-451%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.93%,12.50%,27.33%,-136.81%,23.86%,,,,,,,,-34.10%,,,,,100.00%,,,100.00%,,,100.00%,,,100.00%,,100.00%,99.51%,,100.00%,98.95%,,100.00%,99.55%,,100.00%,92.86%,,100.00%,91.95%,,100.00%,38.67%,,100.00%,9.23%,,100.00%,19.11%,,,100.00%,,100.00%,99.84%,,100.00%,97.26%,,100.00%,18.79%,,100.00%,74.53%,
Mighty Scout Data @Bioptimizers IG - Media Posted,Media Posted,,15,61,57,31,49,24,32,14,32,25,28,19,42,18,19,22,12,23,17,32,52,94,29,26,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,102,114,71,124,197,,,,,,,429,353,,,821,,,213,,,102,,,114,,1.09%,71,,0.94%,124,,0.69%,197,,0.73%,0,,1.06%,0,,0.37%,0,,0.81%,0,,1.45%,0,,4.88%,0,0,0.00%,429,0,2.03%,309,0,2.16%,0,0,7.14%,0,0,11.33%,738
Mighty Scout Data @Bioptimizers IG - Media Posted Rate | Period - over - Period,Media Posted Rate | Period - over - Period,,,75%,-7%,-84%,37%,-104%,25%,-129%,56%,-28%,11%,-47%,55%,-133%,5%,14%,-83%,48%,-35%,47%,38%,45%,-224%,-12%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.82%,10.53%,-60.56%,42.74%,37.06%,,,,,,,,-21.69%,,,,,,100.00%,,,100.00%,,,100.00%,,100.00%,99.98%,,100.00%,99.99%,,100.00%,100.00%,,100.00%,,,100.00%,,,100.00%,,,100.00%,,,100.00%,,,100.00%,,,,100.00%,,100.00%,99.99%,,100.00%,,,100.00%,,,100.00%,99.98%
Mighty Scout Data @Bioptimizers IG - Earned Media Value,Earned Media Value,,"$21,410","$57,911","$44,048","$15,070","$55,629","$15,639","$26,198","$23,383","$46,467","$31,076","$34,065","$30,140","$91,381","$25,988","$4,302","$33,717","$43,958","$34,584","$31,397","$26,213","$53,017","$91,552","$15,046","$45,621","$139,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$194,068","$111,687","$186,662","$107,965","$145,211","$292,003",,,,,,,"$492,417","$545,177",,,"$1,037,594",$0,"$374,884","$194,068",$0,"$309,533","$111,687",$0,"$254,907","$186,662",$8,"$187,825","$107,965",$8,"$400,580","$145,211",$1,"$323,522","$292,003","$1,064","$979,939",$0,"$4,088","$335,250",$0,"$12,431","$364,706",$0,"$111,642","$47,027",,"$483,812","$79,730",,"$461,936","$49,069",,$0,"$313,108","$164,139",$5,"$281,104","$146,613","$5,861","$559,965",0,"$352,463","$58,609",,"$358,330","$1,212,786","$310,752"
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period,Media Value Rate | Period - over - Period,,,63%,-31%,-192%,73%,-256%,40%,-12%,50%,-50%,9%,-13%,67%,-252%,-504%,87%,23%,-27%,-10%,-20%,51%,42%,-508%,67%,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.76%,40.17%,-72.89%,25.65%,50.27%,,,,,,,,9.68%,,,,,100.00%,-93.17%,,100.00%,-177.14%,,100.00%,-36.56%,100.00%,100.00%,-73.97%,100.00%,100.00%,-175.86%,100.00%,100.00%,-10.79%,100.00%,99.89%,,100.00%,98.78%,,100.00%,96.59%,,100.00%,-137.40%,,100.00%,-506.81%,,100.00%,-841.40%,,,100.00%,-90.76%,100.00%,100.00%,-91.73%,100.00%,98.95%,,100.00%,-501.38%,,100.00%,70.45%,-290.27%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG,KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Earned Media Value (EMV),Earned Media Value (EMV),,"$15,261","$1,552","$28,306","$5,128","$1,582",$710,"$2,540","$4,472","$1,627","$1,974",$0,$250,"$2,378","$5,994","$1,291",$641,$0,"$2,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,828","$9,349","$4,602","$7,926","$2,738",,,,,,,,"$65,779","$10,664",,,"$76,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Sales Generated | Period - over - Period,Sales Generated | Period - over - Period,,,-883%,95%,-452%,-224%,-123%,72%,43%,-175%,18%,,100%,89%,60%,-364%,-101%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-454.36%,-103.14%,41.93%,-189.46%,,,,,,,,,-516.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Content Delivered,Content Delivered,,6,3,6,4,3,3,8,2,2,2,0,1,1,1,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,15,4,4,1,,,,,,,,41,2,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Earned Media Value | Period - over - Period,Earned Media Value | Period - over - Period,,,-100%,50%,-50%,-33%,0%,63%,-300%,0%,0%,,100%,0%,0%,50%,-100%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.67%,-275.00%,0.00%,-300.00%,,,,,,,,,-2005.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Impressions,Impressions,,"129,289","20,838","173,522","34,823","9,779",424,"5,948","27,119","11,986","11,712",0,404,"12,670","45,857","7,341","10,290",0,"12,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"368,251","45,477","24,786","63,488","12,711",,,,,,,,"438,514","76,200",,,514713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,-520%,88%,-398%,-256%,-2206%,93%,78%,-126%,-2%,,100%,97%,72%,-525%,29%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-709.75%,-83.48%,60.96%,-399.47%,,,,,,,,,-475.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Engagements,Engagements,,"9,834","2,054","2,038",261,175,20,43,"1,417",961,112,0,1,"1,580",464,62,"1,037",0,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,362","2,441","1,693","1,563",924,,,,,,,,"18,496","2,484",,,"20,983 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Sales Generated | Period - over - Period - Combined Reach | Period - over - Period,Combined Reach | Period - over - Period,,,-379%,-1%,-681%,-49%,-775%,0%,97%,-47%,-758%,,100%,100%,-241%,-648%,94%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-488.37%,-44.18%,-8.32%,-69.16%,,,,,,,,,-644.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok,KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - @Btioptimizers TikTok | Follower Count #,@Btioptimizers TikTok | Follower Count #,,"10,944","11,007","11,616","11,296","11,396","11,539","11,606","11,830","11,914","12,185","12,222","12,340","12,428","12,560","12,655","12,752","12,913","13,021","13,081","13,348","13,700","14,119","14,530","14,774","15,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,252","11,722","12,294","12,720","13,288","14,607",,,,,,,"11,717","13,538",,,"12,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Follower Count # Rate | Period - over - Period,Follower Count # Rate | Period - over - Period,,,1%,5%,-3%,1%,1%,1%,2%,1%,2%,0%,1%,1%,1%,1%,1%,1%,1%,0%,2%,3%,3%,3%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,5%,3%,4%,9%,,,,,,,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - @BIOptimizers TikTok | New Followers,@BIOptimizers TikTok | New Followers,,,63,609,-320,100,143,67,224,84,271,37,118,88,132,95,97,161,108,60,267,352,419,411,244,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,518,514,485,787,"1,305",,,,,,,"1,484","2,577",,,"4,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - New Followers Growth Rate | Period - over - Period,New Followers Growth Rate | Period - over - Period,,,100%,90%,290%,420%,30%,-113%,70%,-167%,69%,-632%,69%,-34%,33%,-39%,2%,40%,-49%,-80%,78%,24%,16%,-2%,-68%,-6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,-1%,-6%,38%,40%,,,,,,,,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Profle Posted,Profle Posted,,39,35,39,32,46,45,33,32,63,44,56,55,56,52,27,24,35,35,21,40,55,30,20,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,173,211,138,151,89,,,,,,,575,377,,,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Total EMV Rate | Period - over - Period,Total EMV Rate | Period - over - Period,,,-11%,10%,-22%,30%,-2%,-36%,-3%,49%,-43%,21%,-2%,2%,-8%,-93%,-13%,31%,0%,-67%,48%,27%,-83%,-50%,5%,-17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10%,18%,-53%,9%,-70%,,,,,,,,-52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
